trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.0901161063070353, 'e': 0.17597157031257069}",25,3,-16.530999284218865,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.09010449567633178, 'e': 0.17245213890631925}",25,12,-31.645538248465513,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
89,False,"{'a': 0.0900940461086986, 'e': 0.16900309612819286}",25,18,13.6460884654786,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.09008464149782874, 'e': 0.16562303420562902}",20,9,-25.322202721006914,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.09007617734804586, 'e': 0.16231057352151643}",20,10,6.658555639847344,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.09006855961324127, 'e': 0.1590643620510861}",20,10,-36.0007954135892,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.09006170365191715, 'e': 0.15588307481006436}",25,5,-26.224743869462564,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.09005553328672543, 'e': 0.1527654133138631}",20,0,17.131261402790418,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.09004997995805289, 'e': 0.1497101050475858}",30,5,38.36941758438766,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.0900449819622476, 'e': 0.14671590294663409}",25,13,12.345491036716599,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.09004048376602285, 'e': 0.1437815848877014}",20,8,14.552883899334017,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.09003643538942055, 'e': 0.1409059531899474}",25,15,20.93397450498123,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.0900327918504785, 'e': 0.13808783412614842}",25,0,25.829023355035932,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.09002951266543065, 'e': 0.13532607744362546}",25,0,1.207992366019763,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
101,False,"{'a': 0.09002656139888758, 'e': 0.13261955589475294}",20,9,18.5926079728424,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.09002390525899882, 'e': 0.12996716477685788}",20,10,18.950912222891716,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.09002151473309894, 'e': 0.12736782148132073}",30,0,37.680410724151514,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.09001936325978904, 'e': 0.12482046505169431}",20,2,31.005620114195725,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.09001742693381014, 'e': 0.12232405575066042}",20,7,-13.387242802937148,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.09001568424042913, 'e': 0.11987757463564722}",20,10,16.5317683406898,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.09001411581638621, 'e': 0.11748002314293426}",25,19,-1.6874594307689141,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.0900127042347476, 'e': 0.11513042268007558}",35,11,39.62716576824519,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.09001143381127283, 'e': 0.11282781422647406}",20,8,17.211745831781148,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.09001029043014555, 'e': 0.11057125794194458}",25,0,16.116741057854632,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.090009261387131, 'e': 0.10835983278310568}",20,16,6.2883149909068505,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.09000833524841789, 'e': 0.10619263612744358}",20,0,8.90450135826113,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
113,False,"{'a': 0.0900075017235761, 'e': 0.1040687834048947}",25,11,-48.353366382951194,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.0900067515512185, 'e': 0.1019874077367968}",25,7,-0.7408901340885647,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.09000607639609665, 'e': 0.09994765958206087}",30,22,11.54755289834221,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.09000546875648698, 'e': 0.09794870639041964}",20,7,4.206534824131667,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.09000492188083828, 'e': 0.09598973226261125}",20,12,15.715311809411467,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.09000442969275445, 'e': 0.09406993761735902}",25,12,-23.10933785485534,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.09000398672347901, 'e': 0.09218853886501184}",25,10,24.652329202347147,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.09000358805113111, 'e': 0.09034476808771161}",20,11,13.695620133795124,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.090003229246018, 'e': 0.08853787272595737}",20,16,8.584818228472667,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.09000290632141619, 'e': 0.08676711527143822}",25,17,-27.613960490468266,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.09000261568927458, 'e': 0.08503177296600946}",35,22,21.801378242974412,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.09000235412034711, 'e': 0.08333113750668926}",25,19,12.683040785563009,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.0900021187083124, 'e': 0.08166451475655548}",25,16,19.824284403848047,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.09000190683748116, 'e': 0.08003122446142437}",20,0,25.770651403585425,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.09000171615373305, 'e': 0.07843059997219588}",25,13,-18.029922782785626,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.09000154453835975, 'e': 0.07686198797275196}",20,16,5.550878793986808,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.09000139008452376, 'e': 0.07532474821329692}",30,22,14.590452987642603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.09000125107607139, 'e': 0.07381825324903098}",20,0,-18.374471620851487,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
131,False,"{'a': 0.09000112596846425, 'e': 0.07234188818405035}",30,18,25.736824400859717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.09000101337161782, 'e': 0.07089505042036935}",25,12,23.610051295847672,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.09000091203445604, 'e': 0.06947714941196197}",20,3,3.7237330785063674,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.09000082083101044, 'e': 0.06808760642372272}",20,0,26.095292188183794,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.0900007387479094, 'e': 0.06672585429524826}",20,8,9.160614716379488,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.09000066487311846, 'e': 0.0653913372093433}",20,13,13.410387473206322,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.09000059838580661, 'e': 0.06408351046515644}",30,12,29.1079851021048,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.09000053854722595, 'e': 0.0628018402558533}",20,7,23.31944603030807,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.09000048469250335, 'e': 0.061545803450736236}",30,16,23.708984320852217,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.09000043622325302, 'e': 0.060314887381721506}",20,4,30.331945812912156,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.09000039260092771, 'e': 0.05910858963408708}",20,12,11.87608835066076,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.09000035334083495, 'e': 0.057926417841405335}",20,0,28.30554724390683,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.09000031800675144, 'e': 0.05676788948457723}",25,0,35.502612175986386,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.09000028620607631, 'e': 0.05563253169488568}",20,3,30.684124902439446,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.09000025758546867, 'e': 0.054519881060987964}",25,8,25.426866623250156,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.09000023182692181, 'e': 0.05342948343976821}",25,4,24.426035626511958,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.09000020864422963, 'e': 0.05236089377097284}",25,14,18.266189842724607,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.09000018777980666, 'e': 0.051313675895553384}",25,0,40.08886665382887,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.09000016900182599, 'e': 0.050287402377642315}",25,9,8.249177610202203,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.0900001521016434, 'e': 0.04928165433008947}",20,0,24.98926827287141,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.09000013689147905, 'e': 0.048296021243487676}",25,10,25.66215851059004,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.09000012320233115, 'e': 0.04733010081861792}",20,10,16.251786304826037,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.09000011088209803, 'e': 0.046383498802245564}",35,17,28.266652570950253,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.09000009979388823, 'e': 0.04545582882620065}",25,11,15.814332956584028,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.0900000898144994, 'e': 0.044546712249676636}",30,22,13.779489999307009,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.09000008083304947, 'e': 0.04365577800468311}",30,20,18.782960299524447,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.09000007274974452, 'e': 0.04278266244458944}",30,21,15.495532129835599,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.09000006547477006, 'e': 0.041927009195697654}",20,13,13.383996535973855,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.09000005892729306, 'e': 0.041088469011783695}",20,0,4.044598897487781,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
160,False,"{'a': 0.09000005303456375, 'e': 0.040266699631548025}",25,0,34.1873257642472,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.09000004773110738, 'e': 0.03946136563891706}",25,17,10.209969089156795,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.09000004295799664, 'e': 0.03867213832613872}",25,17,13.172765313875267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.09000003866219698, 'e': 0.03789869555961595}",25,17,12.459085395535773,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.09000003479597728, 'e': 0.03714072164842362}",25,0,34.342410695527086,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.09000003131637956, 'e': 0.036397907215455154}",20,12,12.610530214434505,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.09000002818474159, 'e': 0.03566994907114605}",20,0,-8.327085170116584,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.09000002536626743, 'e': 0.03495655008972313}",25,6,22.51670995306301,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.09000002282964069, 'e': 0.03425741908792866}",20,0,13.066007276756519,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.09000002054667662, 'e': 0.03357227070617009}",25,10,20.279509658104995,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.09000001849200896, 'e': 0.03290082529204669}",25,15,17.98306345280399,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.09000001664280806, 'e': 0.03224280878620575}",25,0,36.37630191213458,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.09000001497852726, 'e': 0.031597952610481636}",25,15,4.635115308700712,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.09000001348067453, 'e': 0.030965993558272006}",30,11,32.74239101100328,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
