trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.09021847450052839, 'e': 0.19864885008204064}",25,0,26.1462499089499,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
82,False,"{'a': 0.09019662705047556, 'e': 0.19467587308039982}",25,16,3.7413563053807737,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.09017696434542799, 'e': 0.19078235561879184}",20,0,15.291478198127898,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.09015926791088519, 'e': 0.186966708506416}",25,17,9.97760456065852,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.09014334111979667, 'e': 0.18322737433628766}",20,2,3.142449224555568,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.09012900700781701, 'e': 0.1795628268495619}",20,11,16.293892765010078,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.0901161063070353, 'e': 0.17597157031257069}",20,8,23.33103280628971,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.09010449567633178, 'e': 0.17245213890631925}",25,8,24.423307192748826,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.0900940461086986, 'e': 0.16900309612819286}",25,10,-12.401575111740785,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.09008464149782874, 'e': 0.16562303420562902}",20,0,-34.5714118589856,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.09007617734804586, 'e': 0.16231057352151643}",30,8,-32.993961959745064,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
92,False,"{'a': 0.09006855961324127, 'e': 0.1590643620510861}",20,0,6.229704726994752,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
93,False,"{'a': 0.09006170365191715, 'e': 0.15588307481006436}",35,13,-48.334626766366526,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
94,False,"{'a': 0.09005553328672543, 'e': 0.1527654133138631}",35,15,25.1186630240052,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.09004997995805289, 'e': 0.1497101050475858}",20,16,7.632348258293202,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.0900449819622476, 'e': 0.14671590294663409}",20,8,18.6451844780095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.09004048376602285, 'e': 0.1437815848877014}",30,17,20.77144645339703,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.09003643538942055, 'e': 0.1409059531899474}",20,9,16.425199417143062,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.0900327918504785, 'e': 0.13808783412614842}",20,0,24.362837771324074,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.09002951266543065, 'e': 0.13532607744362546}",20,0,-9.3252808894398,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
101,False,"{'a': 0.09002656139888758, 'e': 0.13261955589475294}",25,0,15.986805544465197,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
102,False,"{'a': 0.09002390525899882, 'e': 0.12996716477685788}",25,14,10.92863753377357,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.09002151473309894, 'e': 0.12736782148132073}",30,13,27.99738135046993,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.09001936325978904, 'e': 0.12482046505169431}",25,16,15.3637013324873,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.09001742693381014, 'e': 0.12232405575066042}",25,12,23.46519524316715,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.09001568424042913, 'e': 0.11987757463564722}",20,10,14.391739998504686,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.09001411581638621, 'e': 0.11748002314293426}",25,19,11.686107211964977,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.0900127042347476, 'e': 0.11513042268007558}",30,13,28.07837634967781,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.09001143381127283, 'e': 0.11282781422647406}",25,0,21.285457768333252,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.09001029043014555, 'e': 0.11057125794194458}",20,8,19.5553960400008,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.090009261387131, 'e': 0.10835983278310568}",25,13,-37.65630651651066,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.09000833524841789, 'e': 0.10619263612744358}",25,11,23.989936613951357,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.0900075017235761, 'e': 0.1040687834048947}",25,13,23.378772863640283,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.0900067515512185, 'e': 0.1019874077367968}",20,8,23.188248554423136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.09000607639609665, 'e': 0.09994765958206087}",30,20,5.275791107204362,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.09000546875648698, 'e': 0.09794870639041964}",30,10,35.23852017858541,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.09000492188083828, 'e': 0.09598973226261125}",25,9,11.148756256521683,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.09000442969275445, 'e': 0.09406993761735902}",25,10,-18.15140217049203,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.09000398672347901, 'e': 0.09218853886501184}",20,6,18.585787374791472,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.09000358805113111, 'e': 0.09034476808771161}",25,15,18.045731875869336,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
